threshold;total_number_messages_human;total_number_messages_robot;firefighter_decisions;firefighter_danger;firefighter_danger_rate;total_allocations_human;total_allocations_robot;total_allocations;total_interventions;disagreement_rate;sensitivity;decision;world_nr;tick_nr
4.2;0;0;0;0;0;0;0;0;0;0;;;1;0
4.2;0;0;0;0;0;0;0;0;0;0;;;1;1
4.2;0;1;0;0;0;0;0;0;0;0;;;1;2
4.2;0;1;0;0;0;0;0;0;0;0;;;1;3
4.2;0;1;0;0;0;0;0;0;0;0;;;1;4
4.2;0;1;0;0;0;0;0;0;0;0;;;1;5
4.2;0;1;0;0;0;0;0;0;0;0;;;1;6
4.2;0;1;0;0;0;0;0;0;0;0;;;1;7
4.2;0;1;0;0;0;0;0;0;0;0;;;1;8
4.2;0;1;0;0;0;0;0;0;0;0;;;1;9
4.2;0;1;0;0;0;0;0;0;0;0;;;1;10
4.2;0;1;0;0;0;0;0;0;0;0;;;1;11
4.2;0;1;0;0;0;0;0;0;0;0;;;1;12
4.2;0;1;0;0;0;0;0;0;0;0;;;1;13
4.2;0;1;0;0;0;0;0;0;0;0;;;1;14
4.2;0;1;0;0;0;0;0;0;0;0;;;1;15
4.2;0;1;0;0;0;0;0;0;0;0;;;1;16
4.2;0;1;0;0;0;0;0;0;0;0;;;1;17
4.2;0;1;0;0;0;0;0;0;0;0;;;1;18
4.2;0;1;0;0;0;0;0;0;0;0;;;1;19
4.2;1;1;0;0;0;0;0;0;0;0;;;1;20
4.2;1;2;0;0;0;0;0;0;0;0;;;1;21
4.2;1;2;0;0;0;0;0;0;0;0;;;1;22
4.2;1;2;0;0;0;0;0;0;0;0;;;1;23
4.2;1;2;0;0;0;0;0;0;0;0;;;1;24
4.2;1;2;0;0;0;0;0;0;0;0;;;1;25
4.2;1;2;0;0;0;0;0;0;0;0;;;1;26
4.2;1;2;0;0;0;0;0;0;0;0;;;1;27
4.2;1;2;0;0;0;0;0;0;0;0;;;1;28
4.2;1;2;0;0;0;0;0;0;0;0;;;1;29
4.2;1;2;0;0;0;0;0;0;0;0;;;1;30
4.2;1;2;0;0;0;0;0;0;0;0;;;1;31
4.2;1;2;0;0;0;0;0;0;0;0;;;1;32
4.2;1;2;0;0;0;0;0;0;0;0;;;1;33
4.2;1;2;0;0;0;0;0;0;0;0;;;1;34
4.2;1;2;0;0;0;0;0;0;0;0;;;1;35
4.2;1;2;0;0;0;0;0;0;0;0;;;1;36
4.2;1;3;0;0;0;0;0;0;0;0;;;1;37
4.2;1;3;0;0;0;0;0;0;0;0;;;1;38
4.2;1;3;0;0;0;0;0;0;0;0;;;1;39
4.2;1;4;0;0;0;0;0;0;0;0;;;1;40
4.2;1;4;0;0;0;0;0;0;0;0;;;1;41
4.2;1;4;0;0;0;0;0;0;0;0;;;1;42
4.2;1;4;0;0;0;0;0;0;0;0;;;1;43
4.2;1;4;0;0;0;0;0;0;0;0;;;1;44
4.2;1;4;0;0;0;0;0;0;0;0;;;1;45
4.2;1;4;0;0;0;0;0;0;0;0;;;1;46
4.2;1;4;0;0;0;0;0;0;0;0;;;1;47
4.2;1;4;0;0;0;0;0;0;0;0;;;1;48
4.2;2;4;0;0;0;0;0;0;0;0;;;1;49
4.2;2;4;0;0;0;0;0;0;0;0;;;1;50
4.2;2;4;0;0;0;0;0;0;0;0;;;1;51
4.2;2;4;0;0;0;0;0;0;0;0;;;1;52
4.2;2;4;0;0;0;0;0;0;0;0;;;1;53
4.2;2;4;0;0;0;0;0;0;0;0;;;1;54
4.2;2;4;0;0;0;0;0;0;0;0;;;1;55
4.2;2;4;0;0;0;0;0;0;0;0;;;1;56
4.2;2;4;0;0;0;0;0;0;0;0;;;1;57
4.2;2;4;0;0;0;0;0;0;0;0;;;1;58
4.2;2;4;0;0;0;0;0;0;0;0;;;1;59
4.2;2;4;0;0;0;0;0;0;0;0;;;1;60
4.2;2;4;0;0;0;0;0;0;0;0;;;1;61
4.2;2;4;0;0;0;0;0;0;0;0;;;1;62
4.2;2;4;0;0;0;0;0;0;0;0;;;1;63
4.2;2;4;0;0;0;0;0;0;0;0;;;1;64
4.2;2;4;0;0;0;0;0;0;0;0;;;1;65
4.2;2;4;0;0;0;0;0;0;0;0;;;1;66
4.2;2;4;0;0;0;0;0;0;0;0;;;1;67
4.2;2;4;0;0;0;0;0;0;0;0;;;1;68
4.2;2;4;0;0;0;0;0;0;0;0;;;1;69
4.2;2;4;0;0;0;0;0;0;0;0;;;1;70
4.2;2;4;0;0;0;0;0;0;0;0;;;1;71
4.2;2;4;0;0;0;0;0;0;0;0;;;1;72
4.2;2;4;0;0;0;0;0;0;0;0;;;1;73
4.2;2;4;0;0;0;0;0;0;0;0;;;1;74
4.2;2;4;0;0;0;0;0;0;0;0;;;1;75
4.2;2;4;0;0;0;0;0;0;0;0;;;1;76
4.2;2;4;0;0;0;0;0;0;0;0;;;1;77
4.2;2;4;0;0;0;0;0;0;0;0;;;1;78
4.2;2;4;0;0;0;0;0;0;0;0;;;1;79
4.2;2;4;0;0;0;0;0;0;0;0;;;1;80
4.2;2;4;0;0;0;0;0;0;0;0;;;1;81
4.2;2;4;0;0;0;0;0;0;0;0;;;1;82
4.2;2;4;0;0;0;0;0;0;0;0;;;1;83
4.2;2;4;0;0;0;0;0;0;0;0;;;1;84
4.2;2;4;0;0;0;0;0;0;0;0;;;1;85
4.2;2;4;0;0;0;0;0;0;0;0;;;1;86
